hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,mean_padj,cilow_padj,ciupp_padj,mean_pval,cilow_pval,ciupp_pval,mean_sim,sem_sim
ACHE,108,laminin binding,GO:0043236,molecular function,24.0,5.0,8.700e-02,4.733e-02,1.599e-01,9.524e-03,4.007e-03,2.264e-02,9.140e-01,1.181e-02
ACHE,108,cholinesterase activity,GO:0004104,molecular function,24.0,3.0,8.734e-02,4.703e-02,1.622e-01,9.860e-03,6.807e-03,1.428e-02,9.146e-01,5.272e-03
ACHE,108,acetylcholinesterase activity,GO:0003990,molecular function,24.0,2.0,8.799e-02,4.644e-02,1.667e-01,1.375e-02,3.891e-03,4.856e-02,8.850e-01,2.340e-02
ACHE,108,acetylcholine binding,GO:0042166,molecular function,24.0,5.0,9.904e-02,4.749e-02,2.066e-01,2.485e-02,1.164e-02,5.304e-02,8.355e-01,1.831e-02
ACHE,108,collagen binding,GO:0005518,molecular function,24.0,5.0,1.022e-01,5.449e-02,1.917e-01,3.143e-02,2.676e-02,3.691e-02,8.118e-01,4.271e-03
ACHE,108,serine hydrolase activity,GO:0017171,molecular function,24.0,3.0,1.175e-01,4.944e-02,2.792e-01,4.223e-02,1.461e-02,1.221e-01,7.774e-01,2.838e-02
ACHE,108,protein homodimerization activity,GO:0042803,molecular function,24.0,23.0,1.599e-01,1.026e-01,2.490e-01,1.194e-01,7.343e-02,1.941e-01,6.443e-01,1.850e-02
ACHE,108,hydrolase activity,GO:0016787,molecular function,24.0,25.0,1.823e-01,1.417e-01,2.344e-01,1.461e-01,9.404e-02,2.271e-01,6.124e-01,1.720e-02
ACHE,108,protein binding,GO:0005515,molecular function,24.0,318.0,1.949e-01,1.629e-01,2.332e-01,1.779e-01,1.417e-01,2.233e-01,5.792e-01,9.689e-03
ACHE,108,carboxylic ester hydrolase activity,GO:0052689,molecular function,24.0,115.0,3.077e-01,1.564e-01,6.052e-01,3.077e-01,1.564e-01,6.052e-01,4.653e-01,3.807e-02
ACOT4,19748,short-chain fatty acid metabolic process,GO:0046459,biological process,14.0,9.0,2.001e-02,1.450e-02,2.760e-02,6.437e-03,1.449e-03,2.860e-02,9.290e-01,1.760e-02
ACOT4,19748,saturated monocarboxylic acid metabolic process,GO:0032788,biological process,14.0,2.0,2.020e-02,1.418e-02,2.877e-02,7.821e-03,4.601e-03,1.329e-02,9.265e-01,5.861e-03
ACOT4,19748,unsaturated monocarboxylic acid metabolic process,GO:0032789,biological process,14.0,2.0,2.020e-02,1.418e-02,2.877e-02,8.357e-03,4.625e-03,1.510e-02,9.229e-01,6.814e-03
ACOT4,19748,dicarboxylic acid catabolic process,GO:0043649,biological process,14.0,17.0,2.020e-02,1.418e-02,2.877e-02,7.121e-03,7.732e-04,6.559e-02,9.180e-01,2.289e-02
ACOT4,19748,dicarboxylic acid metabolic process,GO:0043648,biological process,14.0,27.0,2.160e-02,1.207e-02,3.864e-02,9.396e-03,1.444e-03,6.115e-02,9.032e-01,2.956e-02
ACOT4,19748,succinyl-CoA metabolic process,GO:0006104,biological process,14.0,7.0,2.160e-02,1.207e-02,3.864e-02,1.215e-02,3.796e-03,3.886e-02,8.951e-01,2.245e-02
ACOT4,19748,very long-chain fatty acid metabolic process,GO:0000038,biological process,14.0,4.0,2.241e-02,1.574e-02,3.191e-02,1.112e-02,3.013e-03,4.106e-02,9.003e-01,1.900e-02
ACOT4,19748,long-chain fatty acid metabolic process,GO:0001676,biological process,14.0,14.0,2.252e-02,1.608e-02,3.155e-02,1.152e-02,3.361e-03,3.951e-02,8.981e-01,1.773e-02
ACOT4,19748,fatty acid metabolic process,GO:0006631,biological process,14.0,18.0,2.475e-02,2.255e-02,2.717e-02,1.952e-02,1.006e-02,3.785e-02,8.597e-01,1.484e-02
ACOT4,19748,acyl-CoA metabolic process,GO:0006637,biological process,14.0,15.0,2.730e-02,1.170e-02,6.370e-02,2.158e-02,6.012e-03,7.746e-02,8.463e-01,2.921e-02
ACOT4,19748,peroxisome,GO:0005777,cellular component,14.0,12.0,3.919e-02,1.045e-02,1.469e-01,3.706e-02,8.202e-03,1.674e-01,7.899e-01,3.872e-02
ACOT4,19748,succinyl-CoA hydrolase activity,GO:0004778,molecular function,14.0,2.0,2.262e-02,1.569e-02,3.263e-02,1.505e-02,1.282e-02,1.768e-02,8.851e-01,3.547e-03
ACOT4,19748,acyl-CoA hydrolase activity,GO:0047617,molecular function,14.0,7.0,2.262e-02,1.569e-02,3.263e-02,1.712e-02,1.343e-02,2.181e-02,8.734e-01,5.408e-03
ACR,126,,,,nan,nan,,,,,,,,
ACRBP,17195,,,,nan,nan,,,,,,,,
ADAM15,193,innate immune response,GO:0045087,biological process,18.0,24.0,3.548e-01,1.695e-01,7.426e-01,1.260e-01,2.332e-02,6.813e-01,6.208e-01,7.086e-02
ADAM15,193,negative regulation of cell-matrix adhesion,GO:0001953,biological process,18.0,6.0,3.548e-01,1.695e-01,7.426e-01,1.586e-01,4.002e-02,6.287e-01,5.881e-01,5.899e-02
ADAM15,193,integrin-mediated signaling pathway,GO:0007229,biological process,18.0,5.0,3.548e-01,1.695e-01,7.426e-01,2.137e-01,1.241e-01,3.678e-01,5.438e-01,2.587e-02
ADAM15,193,negative regulation of receptor binding,GO:1900121,biological process,18.0,10.0,3.548e-01,1.695e-01,7.426e-01,2.289e-01,8.954e-02,5.852e-01,5.253e-01,4.726e-02
ADAM15,193,immune response to tumor cell,GO:0002418,biological process,18.0,6.0,3.799e-01,1.588e-01,9.087e-01,2.846e-01,8.984e-02,9.014e-01,4.732e-01,6.576e-02
ADAM15,193,negative regulation of cell migration,GO:0030336,biological process,18.0,29.0,3.911e-01,1.409e-01,1.086e+00,3.147e-01,8.960e-02,1.105e+00,4.424e-01,8.146e-02
ADAM15,193,negative regulation of cell growth,GO:0030308,biological process,18.0,18.0,4.599e-01,3.185e-01,6.641e-01,3.753e-01,2.773e-01,5.079e-01,4.219e-01,1.859e-02
ADAM15,193,cellular response to phorbol 13-acetate 12-myristate,GO:1904628,biological process,18.0,6.0,7.398e-01,4.000e-01,1.369e+00,7.398e-01,4.000e-01,1.369e+00,1.590e-01,7.361e-02
ADAM15,193,cell surface,GO:0009986,cellular component,18.0,20.0,3.548e-01,1.695e-01,7.426e-01,1.109e-01,5.434e-02,2.262e-01,6.541e-01,2.654e-02
ADAM15,193,extracellular exosome,GO:0070062,cellular component,18.0,39.0,3.548e-01,1.695e-01,7.426e-01,1.392e-01,8.575e-02,2.260e-01,6.201e-01,1.903e-02
ADAM15,193,integrin binding,GO:0005178,molecular function,18.0,11.0,3.548e-01,1.695e-01,7.426e-01,8.953e-02,3.500e-02,2.290e-01,6.829e-01,3.231e-02
ADAM15,193,SH3 domain binding,GO:0017124,molecular function,18.0,6.0,3.548e-01,1.695e-01,7.426e-01,1.414e-01,7.188e-02,2.783e-01,6.162e-01,2.650e-02
ADAM15,193,protein binding,GO:0005515,molecular function,18.0,318.0,3.548e-01,1.695e-01,7.426e-01,2.230e-01,1.374e-01,3.620e-01,5.357e-01,2.317e-02
ADAM15,193,metallopeptidase activity,GO:0008237,molecular function,18.0,4.0,4.016e-01,2.094e-01,7.702e-01,3.435e-01,1.882e-01,6.269e-01,4.409e-01,3.344e-02
ADAMTS7,223,cellular response to tumor necrosis factor,GO:0071356,biological process,8.0,4.0,4.042e-01,2.642e-01,6.183e-01,2.468e-01,7.859e-02,7.753e-01,5.078e-01,5.384e-02
ADAMTS7,223,proteolysis involved in cellular protein catabolic process,GO:0051603,biological process,8.0,12.0,4.042e-01,2.642e-01,6.183e-01,2.751e-01,1.783e-01,4.244e-01,4.932e-01,2.272e-02
ADAMTS7,223,negative regulation of chondrocyte differentiation,GO:0032331,biological process,8.0,5.0,4.206e-01,3.116e-01,5.677e-01,2.840e-01,1.864e-01,4.328e-01,4.864e-01,2.238e-02
ADAMTS7,223,cellular response to interleukin-1,GO:0071347,biological process,8.0,4.0,4.256e-01,2.604e-01,6.955e-01,3.627e-01,1.552e-01,8.478e-01,4.228e-01,4.805e-02
ADAMTS7,223,cellular response to BMP stimulus,GO:0071773,biological process,8.0,4.0,4.428e-01,3.101e-01,6.324e-01,4.130e-01,2.762e-01,6.175e-01,3.956e-01,2.583e-02
ADAMTS7,223,metalloendopeptidase activity,GO:0004222,molecular function,8.0,4.0,4.042e-01,2.642e-01,6.183e-01,1.196e-01,5.401e-02,2.646e-01,6.421e-01,2.844e-02
ADAMTS7,223,protein binding,GO:0005515,molecular function,8.0,318.0,4.042e-01,2.642e-01,6.183e-01,1.808e-01,9.793e-02,3.338e-01,5.744e-01,2.685e-02
ADCY3,234,adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,biological process,9.0,15.0,1.423e-01,8.002e-02,2.530e-01,5.060e-02,3.362e-02,7.614e-02,7.580e-01,1.151e-02
ADCY3,234,cAMP biosynthetic process,GO:0006171,biological process,9.0,4.0,1.423e-01,8.002e-02,2.530e-01,7.065e-02,1.724e-02,2.896e-01,7.124e-01,4.229e-02
ADCY3,234,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO:0007193,biological process,9.0,9.0,1.641e-01,1.470e-01,1.833e-01,9.456e-02,4.853e-02,1.842e-01,6.777e-01,2.234e-02
ADCY3,234,integral component of plasma membrane,GO:0005887,cellular component,9.0,39.0,1.423e-01,8.002e-02,2.530e-01,3.732e-02,1.225e-02,1.137e-01,7.910e-01,3.036e-02
ADCY3,234,plasma membrane,GO:0005886,cellular component,9.0,67.0,1.423e-01,8.002e-02,2.530e-01,7.713e-02,3.751e-02,1.586e-01,7.052e-01,2.193e-02
ADCY3,234,cytoplasm,GO:0005737,cellular component,9.0,72.0,1.798e-01,1.537e-01,2.103e-01,1.495e-01,1.076e-01,2.075e-01,6.091e-01,1.301e-02
ADCY3,234,membrane,GO:0016020,cellular component,9.0,41.0,1.830e-01,1.672e-01,2.003e-01,1.396e-01,8.873e-02,2.196e-01,6.198e-01,1.746e-02
ADCY3,234,adenylate cyclase activity,GO:0004016,molecular function,9.0,5.0,2.822e-01,1.275e-01,6.247e-01,2.822e-01,1.275e-01,6.247e-01,4.830e-01,4.379e-02
ADCY4,235,adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,biological process,8.0,15.0,1.865e-01,1.411e-01,2.465e-01,7.108e-02,5.154e-02,9.803e-02,7.171e-01,9.981e-03
ADCY4,235,integral component of plasma membrane,GO:0005887,cellular component,8.0,39.0,1.865e-01,1.411e-01,2.465e-01,8.318e-02,4.288e-02,1.614e-01,6.955e-01,2.066e-02
ADCY4,235,cytoplasm,GO:0005737,cellular component,8.0,72.0,2.030e-01,1.319e-01,3.122e-01,1.691e-01,1.100e-01,2.601e-01,5.874e-01,1.787e-02
ADCY4,235,protein kinase C binding,GO:0005080,molecular function,8.0,3.0,1.865e-01,1.411e-01,2.465e-01,1.059e-01,7.431e-02,1.510e-01,6.629e-01,1.266e-02
ADCY4,235,protein binding,GO:0005515,molecular function,8.0,318.0,1.966e-01,1.287e-01,3.004e-01,1.347e-01,7.855e-02,2.311e-01,6.251e-01,2.127e-02
ADCY4,235,adenylate cyclase activity,GO:0004016,molecular function,8.0,5.0,4.127e-01,2.107e-01,8.084e-01,4.127e-01,2.107e-01,8.084e-01,3.915e-01,4.144e-02
ADORA2A,263,adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,biological process,15.0,15.0,3.219e-02,2.235e-02,4.636e-02,2.279e-02,9.685e-03,5.362e-02,8.438e-01,2.019e-02
ADORA2A,263,integral component of plasma membrane,GO:0005887,cellular component,15.0,39.0,3.219e-02,2.235e-02,4.636e-02,1.380e-02,7.001e-03,2.721e-02,8.900e-01,1.319e-02
ADORA2A,263,plasma membrane,GO:0005886,cellular component,15.0,67.0,3.219e-02,2.235e-02,4.636e-02,2.122e-02,1.472e-02,3.059e-02,8.528e-01,9.095e-03
ADORA2A,263,identical protein binding,GO:0042802,molecular function,15.0,24.0,3.219e-02,2.235e-02,4.636e-02,1.471e-02,1.044e-02,2.074e-02,8.866e-01,7.200e-03
ADORA2A,263,G protein-coupled adenosine receptor activity,GO:0001609,molecular function,15.0,5.0,3.219e-02,2.235e-02,4.636e-02,1.923e-02,1.358e-02,2.723e-02,8.624e-01,7.968e-03
ADORA2A,263,protein binding,GO:0005515,molecular function,15.0,318.0,3.268e-02,2.388e-02,4.473e-02,2.819e-02,2.586e-02,3.073e-02,8.234e-01,2.065e-03
ADORA2A,263,enzyme binding,GO:0019899,molecular function,15.0,35.0,6.347e-02,1.514e-02,2.661e-01,6.122e-02,1.292e-02,2.900e-01,7.302e-01,4.399e-02
ADRB3,288,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007188,biological process,20.0,5.0,2.187e-01,1.726e-01,2.772e-01,5.105e-02,1.942e-02,1.342e-01,7.559e-01,2.668e-02
ADRB3,288,adenylate cyclase-activating adrenergic receptor signaling pathway,GO:0071880,biological process,20.0,4.0,2.187e-01,1.726e-01,2.772e-01,5.436e-02,2.028e-02,1.457e-01,7.482e-01,2.745e-02
ADRB3,288,positive regulation of MAPK cascade,GO:0043410,biological process,20.0,13.0,2.804e-01,1.879e-01,4.184e-01,1.042e-01,5.920e-02,1.834e-01,6.641e-01,2.024e-02
ADRB3,288,norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0002025,biological process,20.0,3.0,5.145e-01,4.002e-01,6.615e-01,4.342e-01,2.872e-01,6.567e-01,3.815e-01,2.678e-02
ADRB3,288,cell-cell signaling,GO:0007267,biological process,20.0,35.0,5.225e-01,4.091e-01,6.672e-01,4.021e-01,1.872e-01,8.636e-01,3.968e-01,4.662e-02
ADRB3,288,activation of adenylate cyclase activity,GO:0007190,biological process,20.0,2.0,5.633e-01,5.201e-01,6.102e-01,5.069e-01,3.980e-01,6.455e-01,3.369e-01,1.919e-02
ADRB3,288,temperature homeostasis,GO:0001659,biological process,20.0,7.0,5.654e-01,5.468e-01,5.847e-01,5.384e-01,4.834e-01,5.998e-01,3.182e-01,8.926e-03
ADRB3,288,behavior,GO:0007610,biological process,20.0,28.0,6.373e-01,3.788e-01,1.072e+00,6.011e-01,3.236e-01,1.117e+00,2.602e-01,6.691e-02
ADRB3,288,integral component of plasma membrane,GO:0005887,cellular component,20.0,39.0,2.187e-01,1.726e-01,2.772e-01,5.555e-02,2.919e-02,1.057e-01,7.465e-01,1.889e-02
ADRB3,288,receptor complex,GO:0043235,cellular component,20.0,30.0,4.985e-01,4.082e-01,6.086e-01,3.235e-01,2.245e-01,4.661e-01,4.577e-01,2.056e-02
ADRB3,288,beta-adrenergic receptor activity,GO:0004939,molecular function,20.0,5.0,2.187e-01,1.726e-01,2.772e-01,4.888e-02,3.499e-02,6.829e-02,7.623e-01,9.248e-03
ADRB3,288,beta3-adrenergic receptor activity,GO:0015052,molecular function,20.0,2.0,2.194e-01,1.749e-01,2.751e-01,6.169e-02,5.300e-02,7.181e-02,7.350e-01,4.408e-03
ADRB3,288,adrenergic receptor activity,GO:0004935,molecular function,20.0,4.0,3.164e-01,2.472e-01,4.048e-01,1.238e-01,1.032e-01,1.487e-01,6.398e-01,6.965e-03
ADRB3,288,protein homodimerization activity,GO:0042803,molecular function,20.0,23.0,4.154e-01,3.533e-01,4.885e-01,2.025e-01,1.559e-01,2.629e-01,5.555e-01,1.184e-02
ADRB3,288,protein binding,GO:0005515,molecular function,20.0,318.0,4.467e-01,4.366e-01,4.571e-01,2.520e-01,2.215e-01,2.866e-01,5.132e-01,6.254e-03
ADRB3,288,norepinephrine binding,GO:0051380,molecular function,20.0,2.0,4.874e-01,3.772e-01,6.299e-01,3.429e-01,2.773e-01,4.241e-01,4.448e-01,1.246e-02
ADRB3,288,epinephrine binding,GO:0051379,molecular function,20.0,2.0,4.874e-01,3.772e-01,6.299e-01,3.515e-01,2.819e-01,4.383e-01,4.389e-01,1.314e-02
AFAP1L1,26714,cytosol,GO:0005829,cellular component,4.0,50.0,1.022e-01,5.851e-02,1.784e-01,9.516e-02,6.038e-02,1.500e-01,6.779e-01,1.498e-02
AFAP1L1,26714,SH3 domain binding,GO:0017124,molecular function,4.0,6.0,1.022e-01,5.851e-02,1.784e-01,7.345e-02,6.922e-02,7.794e-02,7.131e-01,1.821e-03
AFAP1L1,26714,protein binding,GO:0005515,molecular function,4.0,318.0,1.022e-01,5.851e-02,1.784e-01,1.022e-01,5.851e-02,1.784e-01,6.673e-01,1.867e-02
AFDN,7137,positive regulation of cell-cell adhesion mediated by cadherin,GO:2000049,biological process,28.0,3.0,1.047e-01,4.557e-02,2.404e-01,1.691e-02,1.011e-02,2.830e-02,8.741e-01,1.175e-02
AFDN,7137,positive regulation of cell-cell adhesion,GO:0022409,biological process,28.0,14.0,1.047e-01,4.557e-02,2.404e-01,1.735e-02,2.503e-03,1.202e-01,8.571e-01,3.585e-02
AFDN,7137,pore complex assembly,GO:0046931,biological process,28.0,3.0,1.047e-01,4.557e-02,2.404e-01,2.794e-02,1.019e-02,7.660e-02,8.224e-01,2.512e-02
AFDN,7137,establishment of endothelial intestinal barrier,GO:0090557,biological process,28.0,2.0,1.238e-01,6.681e-02,2.295e-01,6.079e-02,1.634e-02,2.262e-01,7.312e-01,4.129e-02
AFDN,7137,bicellular tight junction assembly,GO:0070830,biological process,28.0,3.0,1.432e-01,8.889e-02,2.307e-01,1.123e-01,5.338e-02,2.362e-01,6.520e-01,2.631e-02
AFDN,7137,positive regulation of gene expression,GO:0010628,biological process,28.0,27.0,1.433e-01,1.364e-01,1.505e-01,1.051e-01,7.414e-02,1.490e-01,6.640e-01,1.226e-02
AFDN,7137,positive regulation of GTPase activity,GO:0043547,biological process,28.0,6.0,1.451e-01,8.975e-02,2.346e-01,1.157e-01,4.946e-02,2.706e-01,6.466e-01,2.977e-02
AFDN,7137,regulation of protein localization,GO:0032880,biological process,28.0,8.0,2.350e-01,8.436e-02,6.546e-01,2.101e-01,5.925e-02,7.452e-01,5.378e-01,5.862e-02
AFDN,7137,negative regulation of cell migration,GO:0030336,biological process,28.0,29.0,2.404e-01,1.001e-01,5.772e-01,2.270e-01,9.938e-02,5.185e-01,5.288e-01,4.128e-02
AFDN,7137,tight junction,GO:0070160,cellular component,28.0,5.0,1.047e-01,4.557e-02,2.404e-01,2.542e-02,5.487e-03,1.178e-01,8.284e-01,3.551e-02
AFDN,7137,cell-cell junction,GO:0005911,cellular component,28.0,18.0,1.150e-01,6.864e-02,1.926e-01,4.444e-02,1.522e-02,1.298e-01,7.714e-01,2.923e-02
AFDN,7137,cell-cell contact zone,GO:0044291,cellular component,28.0,5.0,1.167e-01,7.312e-02,1.862e-01,5.488e-02,2.286e-02,1.318e-01,7.471e-01,2.506e-02
AFDN,7137,adherens junction,GO:0005912,cellular component,28.0,7.0,1.167e-01,7.312e-02,1.862e-01,5.995e-02,3.020e-02,1.190e-01,7.372e-01,1.956e-02
AFDN,7137,cell junction,GO:0030054,cellular component,28.0,7.0,1.259e-01,8.381e-02,1.891e-01,6.718e-02,3.715e-02,1.215e-01,7.234e-01,1.784e-02
AFDN,7137,plasma membrane,GO:0005886,cellular component,28.0,67.0,1.259e-01,1.013e-01,1.565e-01,7.513e-02,5.850e-02,9.648e-02,7.101e-01,7.852e-03
AFDN,7137,nuclear speck,GO:0016607,cellular component,28.0,7.0,1.413e-01,1.150e-01,1.737e-01,8.158e-02,3.926e-02,1.696e-01,6.973e-01,2.413e-02
AFDN,7137,cytosol,GO:0005829,cellular component,28.0,50.0,1.471e-01,1.294e-01,1.671e-01,1.087e-01,8.514e-02,1.388e-01,6.594e-01,8.800e-03
AFDN,7137,nucleoplasm,GO:0005654,cellular component,28.0,47.0,1.496e-01,1.245e-01,1.798e-01,1.129e-01,7.583e-02,1.680e-01,6.532e-01,1.440e-02
AFDN,7137,pore complex,GO:0046930,cellular component,28.0,5.0,2.486e-01,1.054e-01,5.861e-01,2.378e-01,9.145e-02,6.182e-01,5.173e-01,4.897e-02
AFDN,7137,cell adhesion molecule binding,GO:0050839,molecular function,28.0,6.0,1.047e-01,4.557e-02,2.404e-01,7.020e-03,4.444e-03,1.109e-02,9.317e-01,4.717e-03
AFDN,7137,actin filament binding,GO:0051015,molecular function,28.0,8.0,1.047e-01,4.557e-02,2.404e-01,2.048e-02,1.317e-02,3.184e-02,8.557e-01,1.036e-02
AFDN,7137,Ras GTPase binding,GO:0017016,molecular function,28.0,7.0,1.167e-01,7.312e-02,1.861e-01,5.073e-02,1.632e-02,1.576e-01,7.551e-01,3.315e-02
AFDN,7137,cadherin binding,GO:0045296,molecular function,28.0,9.0,1.259e-01,1.013e-01,1.565e-01,7.049e-02,5.626e-02,8.832e-02,7.183e-01,6.954e-03
AFDN,7137,protein binding,GO:0005515,molecular function,28.0,318.0,1.648e-01,1.287e-01,2.111e-01,1.366e-01,9.255e-02,2.015e-01,6.238e-01,1.537e-02
AGBL5,26147,mitotic spindle,GO:0072686,cellular component,10.0,3.0,1.764e-01,1.287e-01,2.418e-01,8.123e-02,6.357e-02,1.038e-01,6.998e-01,7.781e-03
AGBL5,26147,nucleus,GO:0005634,cellular component,10.0,86.0,1.764e-01,1.287e-01,2.418e-01,1.263e-01,1.130e-01,1.410e-01,6.370e-01,4.214e-03
AGBL5,26147,microtubule cytoskeleton,GO:0015630,cellular component,10.0,6.0,1.764e-01,1.287e-01,2.418e-01,1.256e-01,5.338e-02,2.956e-01,6.337e-01,3.342e-02
AGBL5,26147,cytosol,GO:0005829,cellular component,10.0,50.0,1.764e-01,1.287e-01,2.418e-01,1.309e-01,1.277e-01,1.341e-01,6.312e-01,9.725e-04
AGBL5,26147,cytoplasm,GO:0005737,cellular component,10.0,72.0,1.764e-01,1.287e-01,2.418e-01,1.338e-01,1.221e-01,1.466e-01,6.276e-01,3.622e-03
AGBL5,26147,intercellular bridge,GO:0045171,cellular component,10.0,6.0,1.764e-01,1.287e-01,2.418e-01,1.588e-01,9.833e-02,2.564e-01,5.979e-01,2.021e-02
AGBL5,26147,midbody,GO:0030496,cellular component,10.0,2.0,1.992e-01,1.687e-01,2.353e-01,1.992e-01,1.687e-01,2.353e-01,5.587e-01,7.443e-03
AGXT2,14412,"glycine biosynthetic process, by transamination of glyoxylate",GO:0019265,biological process,7.0,2.0,4.774e-02,2.443e-02,9.329e-02,7.957e-03,4.072e-03,1.555e-02,9.250e-01,8.101e-03
